city,city_ascii,lat,lng,admin_name,population,country_id2
Zongdi,Zongdi,25.5909,106.3163,Guizhou,27651,7
Burlington,Burlington,42.5022,-71.2027,Massachusetts,27650,10
Reinbek,Reinbek,53.5089,10.2483,Schleswig-Holstein,27649,44
San Juan Guichicovi,San Juan Guichicovi,16.9667,-95.0833,Oaxaca,27646,8
Ashtabula,Ashtabula,41.8806,-80.7984,Ohio,27645,10
Gioia del Colle,Gioia del Colle,40.8,16.9333,Puglia,27644,52
Hikawa,Hikawa,35.3929,132.8432,Shimane,27641,1
Leon Postigo,Leon Postigo,8.1514,122.9244,Zamboanga del Norte,27639,4
Longtan,Longtan,40.783,115.5754,Hebei,27639,7
Yahaba,Yahaba,39.6058,141.1431,Iwate,27638,1
Temescal Valley,Temescal Valley,33.7581,-117.4677,California,27630,10
Shilan,Shilan,21.9053,110.7151,Guangdong,27625,7
ItacarÃ©,Itacare,-14.2778,-38.9969,Bahia,27619,5
Bridgewater,Bridgewater,41.9728,-70.9749,Massachusetts,27619,10
Sueca,Sueca,39.2026,-0.3112,Valencia,27617,33
Zarechnyy,Zarechnyy,56.8167,61.3167,Sverdlovskaya Oblastâ€™,27617,11
